student_id,first_name,last_name,gender,age,grade_level,subject,test_score,attendance_percentage,study_hours_per_week,city
1001,Ali,Khan,M,15,9,Math,78,92,6,Lahore
1002,Sara,Ahmed,Female,16,10,science,85,95,8,Karachi
1003,Bilal,Hussain,male,14,8,English,,80,4,Islamabad
1004,Ayesha,Raza,F,15,9,Math,91,98,10, Lahore
1005,Usman,Malik,M,17,11,Physics,73,,5,Faisalabad
1006,Fatima,Iqbal,female,16,10,Chemistry,88,90,7,Multan
1007,Hamza,Sheikh,M,,8,Science,59,70,3,Lahore
1008,Zainab,Tariq,F,17,11,Biology,94,97,9,karachi
1009,Omar,Farooq,M,15,9,english,150,88,4,Peshawar
1010,Mehak,Younas,F,14,8,Math,82,93,6,Lahore
1010,Mehak,Younas,F,14,8,Math,82,93,6,Lahore
1011,Saad,Chaudhry,m,16,10,Physics,64,75,,Rawalpindi
1012,Hira,Nawaz,F,15,9,Chemistry,89,96,8,Karachi
1013,Talha,Aslam,M,17,11,Science,,84,5,Sialkot
1014,Nida,Baig,Female,16,10,biology,92,99,9,Lahore
1015,Waleed,Siddiqui,M,14,8,English,55,68,2,Karachi
1016,Amna,Qureshi,F,15,-9,Math,68,82,4,Multan
1017,Faisal,Anwar,M,17,11,Physics,80,91,7,Lahore
1018,Rabia,Hameed,F,16,10,Chemistry,73,86,6,Islamabad
1019,Danish,Riaz,M,15,9,Science,86,94,8,Faisalabad
1020,Sana,Yousaf,F,14,8,english,61,77,3,Lahore
